"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
753|"7vcuTZAFyu0Z5dgMRLR0h0"|"Iron & Wine"|"Such Great Heights"|251280|"Around The Well"|11|"2009-05-19"|23|0.61|0.275|6|-10.644|1|0.028|0.808|0.913|0.403|0.552|94.088|4
754|"3QP17SZh39ZVczQnopq9BE"|"Lolo Zouaï"|"It's My Fault"|195986|"It's My Fault"|1|"2020-04-24"|1|0.678|0.235|8|-10.123|0|0.0375|0.815|1.78e-05|0.233|0.0383|129.955|4
755|"3P5EAzNwT3tBafKX8xzyvf"|"Cigarettes After Sex"|"Apocalypse"|290146|"Apocalypse"|1|"2017-03-21"|1|0.369|0.467|5|-9.018|1|0.0274|0.0194|0.46|0.109|0.174|94.473|4
756|"00hAcQ2oV8vDO7FeQBqaqz"|"Lucy Schwartz"|"Gone Away"|191373|"Adam Original Motion Picture Soundtrack"|1|"2010-09-28"|12|0.521|0.0698|6|-14.911|1|0.0381|0.985|5.63e-05|0.116|0.219|128.294|4
757|"6kyxQuFD38mo4S3urD2Wkw"|"Muse"|"Unintended"|237026|"Showbiz"|7|"1999"|13|0.487|0.279|6|-11.586|0|0.0265|0.647|0.00185|0.11|0.162|139.362|4
758|"51ZPtAuqT0V5lNONYZTrxy"|"London Grammar"|"Hey Now"|207253|"If You Wait"|1|"2013-09-10"|11|0.648|0.28|5|-11.961|1|0.0333|0.396|0.0785|0.106|0.0393|120.058|4
759|"0IUcYj29jSob9PYlZ4JdWI"|"Ben Abraham"|"Home"|154213|"Home"|1|"2015-10-15"|1|0.597|0.131|7|-20.367|1|0.033|0.922|0.206|0.25|0.524|133.827|3
760|"3wkpzupNc2h7MI97YtWSS6"|"Luca Fogale"|"Villains"|247640|"Safety"|4|"2016-07-01"|12|0.501|0.169|9|-13.825|1|0.0483|0.92|0|0.0874|0.0974|122.355|3
761|"5h9NOj6ug1uB4LkT5FrFrm"|"Julien Baker"|"Everybody Does"|145888|"Sprained Ankle"|4|"2015-10-23"|9|0.656|0.181|5|-8.544|1|0.0322|0.852|0|0.061|0.342|111.438|4
762|"5ExIjNVCeigpRtqAc47jKQ"|"SOHN"|"Rennen"|197720|"Rennen"|1|"2016-12-16"|1|0.338|0.15|9|-12.7|0|0.032|0.914|0.288|0.116|0.172|101.94|4
763|"15xWRPHQMeqgdkGzInx3PY"|"James Arthur"|"Falling Like The Stars"|212720|"Falling Like The Stars"|1|"2019-05-10"|1|0.296|0.351|6|-9.538|1|0.0352|0.823|1.45e-06|0.11|0.19|177.06|3
764|"7u5YIl9C1ijghg46PVVdh9"|"Bastille"|"Oblivion"|196346|"Oblivion"|1|"2014-09-07"|6|0.441|0.324|5|-8.788|1|0.03|0.758|1.69e-06|0.448|0.215|78.547|4
765|"2XGEpFt3322G8IHsldVqZh"|"Florence + The Machine"|"St Jude"|225069|"How Big, How Blue, How Beautiful (Deluxe)"|10|"2015-06-01"|16|0.261|0.434|8|-10.649|1|0.0333|0.752|0.00639|0.105|0.0921|117.291|4
766|"6qlfzOpeLcdoSxrgbkR0Zi"|"The xx"|"Stars"|262640|"xx"|11|"2009-08-16"|11|0.676|0.2|9|-17.735|0|0.0282|0.826|0.0289|0.144|0.176|104.016|4
767|"18RQoXcen7pcKhFreuN02y"|"Jack Vallier"|"Rebekah"|200747|"Rebekah - EP"|1|"2017-11-17"|4|0.531|0.461|7|-11.176|0|0.0437|0.161|1.62e-06|0.132|0.162|75.036|4
768|"5ihS6UUlyQAfmp48eSkxuQ"|"Fleetwood Mac"|"Landslide"|199493|"Fleetwood Mac"|8|"1975-07-11"|11|0.414|0.161|7|-22.32|0|0.0318|0.883|0.000223|0.117|0.423|159.375|4
769|"3l5GdoaOPPVWRjIgbTBejJ"|"David Gray"|"This Years Love"|245946|"White Ladder"|10|"1998"|12|0.324|0.208|8|-8.848|1|0.0288|0.698|2.89e-05|0.11|0.193|166.366|3
770|"7orKxdC3ggGmXYQQ1Idpg2"|"Circumnavigate"|"Layer You Up"|181518|"Layer You Up"|1|"2020-05-15"|1|0.315|0.29|11|-12.247|1|0.0456|0.809|0|0.1|0.237|174.137|3
771|"5F5hMibUXtXf2ZpkultdTk"|"Jason Mraz"|"Details in the Fabric (feat. James Morrison)"|345706|"Details in the Fabric (feat. James Morrison)"|1|"2008-04-22"|1|0.538|0.338|3|-12.098|0|0.0282|0.755|5.68e-05|0.848|0.33|89.93|4
772|"4X6SrakJi0TGgsuevegjhn"|"thom.ko"|"90 MPH"|209108|"90 MPH"|1|"2020-12-04"|1|0.722|0.72|6|-4.688|0|0.0643|0.819|8.72e-05|0.182|0.561|100.993|4
773|"50LqU2nhdE3fmWOuqOjpjz"|"Leonard Cohen"|"Suzanne"|227200|"The Best Of Leonard Cohen"|1|"1975"|12|0.402|0.102|6|-21.048|0|0.0401|0.938|0.000278|0.112|0.307|132.248|4
774|"1IZiDJ78xouS1IhHhZhAUx"|"flora cash"|"In The Winter"|278726|"In The Winter"|1|"2015-01-07"|1|0.428|0.285|4|-17.293|1|0.0292|0.856|0.000329|0.0812|0.227|134.979|4
775|"7E7sAg5qPv0cObXCWRsYMJ"|"Sam Smith"|"Lay Me Down"|219535|"In The Lonely Hour (Drowning Shadows Edition)"|23|"2015-11-06"|23|0.468|0.205|4|-11.014|1|0.0412|0.921|0|0.107|0.325|125.343|4
776|"5XotsIxGpYPYddckIOPaDb"|"Thomas LaVine"|"Rivers"|233807|"Rivers"|1|"2020-08-28"|1|0.567|0.267|10|-13.758|1|0.0289|0.713|0.0548|0.106|0.0856|117.961|4
777|"06FuacHsetjXDheCZykXCJ"|"Laura Mvula"|"She"|205986|"Sing to the Moon"|8|"2013-03-04"|19|0.261|0.263|5|-9.41|1|0.0361|0.781|2.44e-05|0.105|0.0848|74.942|3
