"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
212|"4p7mS0e5GMsBIg1g61ikpw"|"G-DRAGON"|"개소리 (BULLSHIT)"|182079|"KWON JI YONG"|2|"2017-06-08"|5|0.756|0.821|0|-5.494|1|0.089|0.0534|0|0.354|0.574|96.007|4
213|"7LXW05QcQi9ri7ZBYqGhPJ"|"NCT 127"|"Punch"|204000|"NCT #127 Neo Zone: The Final Round – The 2nd Album Repackage"|1|"2020-05-19"|17|0.636|0.915|1|-3.473|1|0.183|0.0353|0|0.0978|0.511|90.946|4
214|"0PFIjuocFoKAx8xFxIFZYb"|"Jackson Wang"|"X"|132781|"X"|1|"2018-05-25"|1|0.81|0.817|5|-2.674|1|0.069|0.00467|0|0.297|0.698|110.024|4
215|"1BiXkuVBXz9IzP7210Zo9I"|"Stray Kids"|"Side Effects"|193852|"Clé 2 : Yellow Wood"|2|"2019-06-19"|7|0.443|0.978|2|-1.736|1|0.145|0.0215|0|0.0545|0.114|129.987|4
216|"0H4ugk6rhnXmTl47ayy9O5"|"Agust D"|"Daechwita"|225668|"D-2"|2|"2020-05-22"|10|0.65|0.827|8|-4.014|1|0.0599|0.0229|0|0.121|0.223|144.995|4
217|"6iaVgWHDlYxjjvj3PuKSQX"|"ATEEZ"|"WIN"|202800|"TREASURE EP.FIN: All To Action"|6|"2019-10-08"|11|0.607|0.95|10|-4.134|0|0.249|0.0455|1.86e-06|0.354|0.458|145.101|4
218|"1ayaOin9hxCtyhg4UsBTpg"|"NCT 127"|"Kick It"|233013|"NCT #127 Neo Zone - The 2nd Album"|2|"2020-03-06"|13|0.681|0.847|7|-2.462|1|0.0869|0.0306|0|0.0808|0.507|167.031|4
219|"3lYPk1b8Ai6R6zvayGyRbW"|"BIGBANG"|"ZUTTER (GD&T.O.P)"|194507|"MADE"|10|"2016-12-13"|11|0.817|0.399|10|-5.482|0|0.076|0.11|0|0.122|0.3|90.015|4
220|"6fXesHsuCFf80vYzDP26J5"|"KANG DANIEL"|"Waves (feat. Simon Dominic & Jamie)"|164920|"Waves (feat. Simon Dominic & Jamie)"|1|"2020-07-27"|1|0.832|0.829|2|-3.461|1|0.0821|0.0854|1.64e-05|0.105|0.555|107.012|4
221|"185o8d33211rJBW5UlJVrY"|"Stray Kids"|"Grrr 총량의 법칙"|189938|"Mixtape"|2|"2018-01-08"|7|0.675|0.963|1|-1.884|1|0.171|0.042|0|0.397|0.455|97.968|4
222|"6bKi7TNJqCpX7iWQfM7wId"|"B.I"|"Be I - Live"|201371|"2016 iKON iKONCERT SHOWTIME TOUR IN SEOUL LIVE"|4|"2016-05-04"|18|0.625|0.885|1|-4.066|1|0.317|0.247|0|0.411|0.203|88.163|4
223|"65x81o2eIyfQT6hpQkCKhj"|"SuperM"|"100"|206720|"100"|1|"2020-08-14"|1|0.692|0.859|7|-2.529|1|0.0461|0.0277|0|0.363|0.403|114.993|4
