"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
721|"0TwBtDAWpkpM3srywFVOV5"|"Beyoncé"|"Crazy In Love (feat. Jay-Z)"|235933|"Dangerously In Love"|1|"2003-03-10"|16|0.664|0.758|2|-6.583|0|0.21|0.00238|0|0.0598|0.701|99.259|4
722|"69uxyAqqPIsUyTO8txoP2M"|"Coldplay"|"Adventure of a Lifetime"|263786|"A Head Full of Dreams"|5|"2015-12-04"|11|0.638|0.924|7|-3.887|1|0.036|0.00205|0.000175|0.149|0.53|111.995|4
723|"1WkMMavIMc4JZ8cfMmxHkI"|"Justin Timberlake"|"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"|237546|"TROLLS (Original Motion Picture Soundtrack)"|2|"2016-09-23"|13|0.669|0.832|0|-5.721|1|0.0682|0.0106|0|0.0968|0.7|113.035|4
724|"6I9VzXrHxO9rA9A5euc8Ak"|"Britney Spears"|"Toxic"|198800|"In The Zone"|6|"2003-11-13"|13|0.774|0.838|5|-3.914|0|0.114|0.0249|0.025|0.242|0.924|143.04|4
725|"3MjUtNVVq3C8Fn0MP3zhXa"|"Britney Spears"|"...Baby One More Time"|211066|"...Baby One More Time (Digital Deluxe Version)"|1|"1999-01-12"|16|0.759|0.699|0|-5.745|0|0.0307|0.202|0.000131|0.443|0.907|92.96|4
726|"5tf1VVWniHgryyumXyJM7w"|"Robin Schulz"|"Sugar (feat. Francesco Yates)"|219043|"Sugar"|2|"2015-09-25"|15|0.636|0.815|5|-5.098|0|0.0581|0.0185|0|0.163|0.636|123.063|4
727|"41Fflg7qHiVOD6dEPvsCzO"|"Fifth Harmony"|"Worth It (feat. Kid Ink)"|224573|"Reflection (Deluxe)"|4|"2015-01-30"|14|0.884|0.765|8|-3.865|1|0.0882|0.063|7.04e-06|0.118|0.594|99.987|4
728|"6Zo3wgDE076K2AuiGZF3CS"|"Pitbull"|"Fun (feat. Chris Brown)"|202306|"Globalization"|2|"2014-11-21"|11|0.793|0.774|0|-3.667|0|0.0478|0.156|0|0.193|0.547|113.967|4
729|"7lHZVqUWCH19fUw0ZI2euy"|"J Balvin"|"Mi Gente - Original Mix"|189029|"Mi Gente"|1|"2017-06-30"|1|0.548|0.701|11|-4.862|0|0.0914|0.0178|1.34e-05|0.134|0.309|104.237|4
730|"39N9RPD9MRb5WmoLzNzPeA"|"Nicky Jam"|"X"|173627|"X"|1|"2018-03-02"|1|0.595|0.773|9|-4.736|0|0.0549|0.0364|0.00108|0.334|0.711|180.073|4
731|"6QbpHYzlUKNvv3Rw3uJpNq"|"Tesher"|"Jalebi Baby (Tesher x Jason Derulo)"|169154|"Jalebi Baby (Tesher x Jason Derulo)"|1|"2021-05-28"|1|0.59|0.83|2|-6.999|0|0.058|0.0334|0|0.273|0.866|186.1|4
732|"1ot6jEe4w4hYnsOPjd3xKQ"|"The Pointer Sisters"|"I'm So Excited"|230640|"So Excited! (Expanded Edition)"|1|"1982-02-01"|10|0.59|0.868|5|-5.832|0|0.048|0.0962|0.000322|0.442|0.798|184.348|4
733|"2zW8y5ry4YudAPnLmagr1c"|"Hardwell"|"Ze Willen Mee"|201600|"Ze Willen Mee"|1|"2018-03-30"|1|0.877|0.797|1|-3.256|0|0.0587|0.318|0|0.0978|0.4|100.01|4
734|"2a1o6ZejUi8U3wzzOtCOYw"|"Don Omar"|"Danza Kuduro"|198773|"Meet The Orphans"|12|"2010-01-01"|14|0.4|0.915|0|-4.89|1|0.28|0.0846|0|0.0503|0.878|88.917|3
735|"5dncURyoRN89syo3bUtS7h"|"Vengaboys"|"We're Going to Ibiza - Hitclub Airplay RMX"|203546|"We're Going to Ibiza!"|2|"1998"|2|0.805|0.981|1|-3.672|1|0.0406|0.063|0.0142|0.349|0.981|129.997|4
736|"14iN3o8ptQ8cFVZTEmyQRV"|"Katy Perry"|"I Kissed A Girl"|179640|"One Of The Boys"|2|"2008-06-17"|13|0.699|0.76|5|-3.173|1|0.0677|0.00223|0|0.132|0.696|129.996|4
