"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
312|"6epn3r7S14KUqlReYr77hA"|"Justin Bieber"|"Baby"|214240|"My World 2.0"|1|"2010-01-01"|10|0.728|0.859|5|-5.237|0|0.137|0.0401|0|0.111|0.535|65.043|4
313|"4j8QzNWAEy7YI6kSbRa1Ja"|"Sofia Mills"|"Poison"|342172|"All My Pals"|6|"2020-08-27"|6|0.363|0.35|0|-9.379|1|0.0321|0.702|0.000686|0.107|0.128|120.974|3
314|"04sN26COy28wTXYj3dMoiZ"|"Billie Eilish"|"Bored"|180933|"Bored"|1|"2017-03-30"|1|0.614|0.318|7|-12.695|1|0.0478|0.896|0.00239|0.0795|0.112|119.959|4
315|"0ByMNEPAPpOR5H69DVrTNy"|"Rihanna"|"Don't Stop The Music"|267080|"Good Girl Gone Bad: Reloaded"|3|"2008-06-02"|15|0.835|0.669|6|-5.582|0|0.0643|0.0336|6.92e-05|0.0535|0.542|122.668|4
316|"4TsmezEQVSZNNPv5RJ65Ov"|"Rihanna"|"Pon de Replay"|246960|"Music Of The Sun"|1|"2005-08-29"|13|0.779|0.64|7|-8.415|1|0.159|0.000155|0.00077|0.101|0.498|99.019|4
317|"0aI0FvckwTDpB5KyNryIrp"|"Lil Tecca"|"Love Me"|117013|"We Love You Tecca"|13|"2019-09-06"|18|0.826|0.527|11|-6.924|0|0.211|0.586|0|0.14|0.878|68.022|5
318|"4Og8y28G2sdN8OTSXs4CQZ"|"A Boogie Wit da Hoodie"|"Drowning (feat. Kodak Black)"|209269|"The Bigger Artist"|3|"2017-09-29"|15|0.844|0.797|5|-5.338|0|0.061|0.479|0|0.12|0.772|129.038|4
319|"51xUartdwQzXmtrwHyXRVp"|"Ross Lynch"|"On My Own"|145413|"Teen Beach 2 (Original TV Movie Soundtrack)"|2|"2015-01-01"|15|0.669|0.593|7|-6.628|1|0.0406|0.14|0|0.119|0.281|87.965|4
320|"7wcWkzT1X75DguAwOWxlGt"|"Drake"|"Way 2 Sexy (with Future & Young Thug)"|257604|"Certified Lover Boy"|7|"2021-09-02"|21|0.803|0.596|11|-6.064|0|0.129|0.000722|1.01e-05|0.324|0.326|136.023|4
321|"5TVirkSwFEXF1nLJEebe2I"|"Bazzi"|"Beautiful"|178242|"COSMIC"|13|"2018-04-12"|16|0.666|0.677|2|-5.743|1|0.0326|0.214|0|0.0979|0.178|100.014|4
322|"5jsw9uXEGuKyJzs0boZ1bT"|"Shawn Mendes"|"Stitches"|206880|"Handwritten"|2|"2015-04-14"|13|0.752|0.754|1|-6.684|1|0.0615|0.0151|0|0.0486|0.755|149.789|4
323|"6fZpcVRr45Z6fLtciswBBU"|"Bazzi"|"Dreams"|147020|"COSMIC"|1|"2018-04-12"|16|0.663|0.666|6|-5.441|1|0.125|0.583|3.85e-06|0.222|0.605|159.983|4
324|"3UGIZ8qcrMTwzLbx6Kttqt"|"Justin Bieber"|"Boyfriend"|171333|"Believe"|2|"2012-01-01"|13|0.717|0.55|10|-6.019|0|0.0521|0.0358|0.00196|0.126|0.332|96.976|4
325|"43zdsphuZLzwA9k4DJhU0I"|"Billie Eilish"|"when the party's over"|196077|"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"|7|"2019-03-29"|14|0.367|0.111|4|-14.084|1|0.0972|0.978|3.97e-05|0.0897|0.198|82.642|4
326|"7xapw9Oy21WpfEcib2ErSA"|"Justin Bieber"|"Mistletoe"|182946|"Under The Mistletoe (Deluxe Edition)"|2|"2011-01-01"|15|0.657|0.56|6|-9.049|0|0.0467|0.498|0|0.0794|0.854|161.993|4
327|"59HjlYCeBsxdI0fcm3zglw"|"Taylor Swift"|"Wildest Dreams"|220440|"1989"|9|"2014-10-27"|13|0.554|0.666|8|-7.414|1|0.0747|0.0702|0.00593|0.106|0.472|140.056|4
328|"5r43qanLhUCdBj8HN3fa6B"|"OneRepublic"|"Sunshine"|163854|"Sunshine"|1|"2021-11-10"|1|0.697|0.875|5|-4.621|1|0.034|0.137|0|0.28|0.774|140.069|4
329|"4CxFN5zON70B3VOPBYbd6P"|"Jeremy Zucker"|"you were good to me"|219146|"brent"|1|"2019-05-03"|5|0.561|0.0848|2|-15.099|1|0.0404|0.913|2.62e-05|0.112|0.206|102.128|4
330|"5MG69A9XyXDbBbeOxdR3Tl"|"Claire Rosinkranz"|"don't miss me"|123949|"don’t miss me"|1|"2021-11-22"|1|0.796|0.727|1|-4.726|1|0.04|0.793|2.49e-05|0.0858|0.818|104.98|4
331|"2kDlcjouMC8uoSSotXzjI9"|"Dirty Heads"|"Garland"|229781|"Home | Phantoms of Summer: The Acoustic Sessions"|5|"2013-10-29"|11|0.741|0.521|4|-8.725|0|0.0363|0.648|8.94e-06|0.111|0.783|87.003|4
332|"0gplL1WMoJ6iYaPgMCL0gX"|"Adele"|"Easy On Me"|224694|"Easy On Me"|1|"2021-10-14"|1|0.604|0.366|5|-7.519|1|0.0282|0.578|0|0.133|0.13|141.981|4
333|"6sy3LkhNFjJWlaeSMNwQ62"|"OneRepublic"|"Counting Stars"|257839|"Native"|1|"2014-01-01"|15|0.664|0.705|1|-4.972|0|0.0382|0.0654|0|0.115|0.477|122.017|4
334|"6bY3LFFbR70Cpt8cvvIhQb"|"Galimatias"|"Pretty Thoughts"|211801|"Urban Flora"|7|"2015-05-19"|8|0.409|0.485|9|-8.774|1|0.102|0.178|2.22e-06|0.193|0.119|59.05|4
335|"6Nle9hKrkL1wQpwNfEkxjh"|"Frank Ocean"|"Chanel"|210285|"Chanel"|1|"2017-03-10"|1|0.776|0.503|0|-5.732|0|0.237|0.874|0|0.112|0.473|110.134|4
336|"11OoUqXLghsFEEh47JeALh"|"Alina Baraz"|"Fantasy"|218947|"Urban Flora"|4|"2015-05-19"|8|0.68|0.747|4|-6.056|0|0.091|0.353|0|0.138|0.331|113.933|4
